Location,Accident_Type,Latitude,Longitude,Date,Year,Month,Day,Hour,Minute
Cairo,Overturn,25.760965,34.025629,2020-03-15,2020,3,15,12,50
Port Said,Overturn,30.429479,34.772788,2021-08-15,2021,8,15,1,0
Luxor,Vehicle Breakdown,27.425047,34.570729,2021-11-17,2021,11,17,9,29
Ismailia,Vehicle Breakdown,26.445212,34.631363,2024-10-08,2024,10,8,16,29
Luxor,Overturn,29.279325,30.984105,2024-02-06,2024,2,6,14,41
Luxor,Overturn,22.126758,31.022673,2021-08-27,2021,8,27,18,43
Sharm El Sheikh,Overturn,27.49859,32.832355,2022-04-10,2022,4,10,13,32
Aswan,Collision,25.607499,29.572311,2020-10-14,2020,10,14,15,20
Sharm El Sheikh,Collision,24.347067,30.413128,2024-03-23,2024,3,23,8,21
Luxor,Vehicle Breakdown,28.505943,29.068614,2023-08-31,2023,8,31,11,44
Sharm El Sheikh,Collision,28.010075,31.79237,2020-11-23,2020,11,23,12,43
Ismailia,Fire,28.212613,32.832268,2021-08-27,2021,8,27,11,39
Sharm El Sheikh,Overturn,30.616245,31.869091,2022-07-20,2022,7,20,23,38
Aswan,Pedestrian Accident,28.317467,34.476781,2024-03-31,2024,3,31,17,51
Sharm El Sheikh,Overturn,28.123077,32.574887,2024-05-31,2024,5,31,2,33
Port Said,Vehicle Breakdown,28.333895,29.468616,2023-03-01,2023,3,1,3,3
Ismailia,Vehicle Breakdown,23.819411,32.219961,2020-12-02,2020,12,2,10,54
Ismailia,Pedestrian Accident,23.04616,30.232409,2023-04-09,2023,4,9,15,5
Ismailia,Pedestrian Accident,29.278229,31.720594,2022-11-17,2022,11,17,13,29
Mansoura,Collision,27.029175,33.036606,2021-09-23,2021,9,23,23,1
Suez,Fire,29.348079,33.474827,2023-03-30,2023,3,30,2,2
Suez,Fire,28.303464,32.246981,2020-05-03,2020,5,3,2,59
Port Said,Collision,24.583816,30.079888,2020-10-04,2020,10,4,20,46
Suez,Fire,30.935709,31.294878,2024-11-15,2024,11,15,12,24
Alexandria,Vehicle Breakdown,23.196908,34.161719,2020-08-30,2020,8,30,5,34
Suez,Vehicle Breakdown,23.146124,34.872346,2024-09-05,2024,9,5,0,48
Cairo,Fire,26.167035,33.314564,2022-05-18,2022,5,18,17,24
Sharm El Sheikh,Overturn,26.145628,29.930728,2021-01-21,2021,1,21,23,48
Alexandria,Collision,29.285304,31.515444,2024-04-17,2024,4,17,0,15
Sharm El Sheikh,Collision,22.90807,29.201458,2023-05-09,2023,5,9,21,45
Cairo,Overturn,28.66487,31.413592,2021-04-24,2021,4,24,17,13
Cairo,Overturn,26.535063,30.735581,2024-07-28,2024,7,28,23,36
Aswan,Vehicle Breakdown,27.381259,33.035191,2021-10-18,2021,10,18,7,19
Giza,Vehicle Breakdown,23.989385,30.803006,2020-05-04,2020,5,4,17,37
Giza,Pedestrian Accident,27.002656,29.281305,2021-12-06,2021,12,6,20,42
Suez,Vehicle Breakdown,24.86861,31.497948,2020-11-01,2020,11,1,9,24
Giza,Vehicle Breakdown,26.261669,34.096046,2021-09-07,2021,9,7,22,9
Port Said,Collision,27.061474,34.806717,2023-02-15,2023,2,15,16,8
Suez,Overturn,24.294961,30.981578,2020-06-10,2020,6,10,14,54
Aswan,Collision,26.82072,33.976438,2020-04-15,2020,4,15,8,24
Mansoura,Vehicle Breakdown,22.355928,29.436706,2024-07-05,2024,7,5,18,46
Ismailia,Overturn,26.314548,34.216843,2021-11-12,2021,11,12,9,58
Cairo,Overturn,30.434438,34.772465,2020-08-28,2020,8,28,23,48
Port Said,Overturn,28.260637,33.222611,2022-03-23,2022,3,23,7,35
Aswan,Fire,25.425956,32.201901,2022-01-05,2022,1,5,9,16
Aswan,Vehicle Breakdown,29.945308,31.796024,2024-07-02,2024,7,2,23,30
Aswan,Overturn,25.336344,31.483581,2023-02-26,2023,2,26,7,47
Giza,Collision,24.346967,34.60855,2023-04-01,2023,4,1,23,26
Luxor,Overturn,23.765726,30.380112,2023-03-12,2023,3,12,7,31
Ismailia,Fire,24.315941,33.929552,2024-01-21,2024,1,21,20,47
Port Said,Pedestrian Accident,23.514103,33.769853,2020-12-12,2020,12,12,4,46
Ismailia,Pedestrian Accident,23.65643,34.336187,2023-08-07,2023,8,7,1,33
Cairo,Collision,30.506693,33.009293,2024-04-14,2024,4,14,0,26
Giza,Overturn,22.611711,29.906178,2021-03-23,2021,3,23,16,29
Aswan,Collision,27.560517,33.000528,2023-06-16,2023,6,16,15,42
Port Said,Collision,22.059511,32.309861,2020-01-25,2020,1,25,0,33
Luxor,Vehicle Breakdown,30.797314,29.102856,2024-07-23,2024,7,23,22,43
Suez,Overturn,22.963148,29.577883,2020-10-31,2020,10,31,7,12
Mansoura,Vehicle Breakdown,24.271764,31.126647,2024-06-16,2024,6,16,12,5
Aswan,Pedestrian Accident,26.13098,30.459247,2023-11-28,2023,11,28,7,19
Alexandria,Collision,22.841505,31.275584,2023-02-05,2023,2,5,15,3
Cairo,Overturn,22.744175,34.071979,2023-08-13,2023,8,13,10,36
Alexandria,Vehicle Breakdown,30.27237,30.378599,2024-11-12,2024,11,12,22,56
Mansoura,Pedestrian Accident,24.439855,34.544956,2023-11-02,2023,11,2,8,57
Ismailia,Vehicle Breakdown,27.922983,30.076127,2024-10-07,2024,10,7,10,1
Sharm El Sheikh,Vehicle Breakdown,23.297724,33.924144,2024-08-08,2024,8,8,12,59
Alexandria,Fire,23.462052,30.442833,2024-09-05,2024,9,5,12,43
Ismailia,Fire,25.454616,33.438471,2024-06-06,2024,6,6,22,46
Alexandria,Vehicle Breakdown,28.709109,31.075157,2020-07-19,2020,7,19,13,14
Alexandria,Fire,27.446519,32.683191,2023-05-04,2023,5,4,12,49
Aswan,Collision,27.707107,33.701289,2022-07-11,2022,7,11,15,14
Aswan,Vehicle Breakdown,30.470286,31.591088,2023-10-24,2023,10,24,18,42
Suez,Collision,28.949507,30.772277,2021-05-19,2021,5,19,22,4
Alexandria,Fire,23.387989,33.270063,2023-07-22,2023,7,22,4,47
Suez,Fire,25.246302,29.549123,2021-09-23,2021,9,23,14,23
Luxor,Collision,23.192563,30.124351,2022-07-08,2022,7,8,17,35
Ismailia,Pedestrian Accident,22.929636,29.537713,2023-02-09,2023,2,9,2,38
Mansoura,Fire,29.773464,29.074044,2022-04-27,2022,4,27,12,49
Alexandria,Vehicle Breakdown,30.146868,34.869038,2023-03-17,2023,3,17,16,10
Suez,Overturn,23.249561,30.806788,2022-10-06,2022,10,6,4,4
Giza,Pedestrian Accident,24.483657,30.798514,2024-05-21,2024,5,21,2,23
Luxor,Overturn,28.488095,31.974815,2023-06-16,2023,6,16,6,29
Alexandria,Overturn,24.741922,34.692941,2021-11-11,2021,11,11,19,24
Aswan,Pedestrian Accident,25.012626,33.892853,2024-10-26,2024,10,26,20,38
Giza,Fire,24.885986,34.683674,2021-02-15,2021,2,15,15,20
Giza,Pedestrian Accident,30.718527,30.748689,2023-11-24,2023,11,24,20,31
Mansoura,Overturn,24.932976,30.681801,2024-05-28,2024,5,28,12,23
Alexandria,Vehicle Breakdown,23.7982,34.98359,2021-01-03,2021,1,3,21,49
Ismailia,Collision,30.577042,31.769733,2023-12-21,2023,12,21,6,28
Luxor,Collision,29.37069,33.773941,2022-04-17,2022,4,17,21,31
Giza,Fire,24.178191,32.951978,2024-01-04,2024,1,4,13,50
Suez,Collision,26.0416,32.587603,2023-04-07,2023,4,7,12,34
Ismailia,Pedestrian Accident,26.892807,33.744326,2022-01-06,2022,1,6,22,57
Ismailia,Vehicle Breakdown,27.743623,29.509892,2024-04-23,2024,4,23,7,42
Aswan,Overturn,27.822999,29.26578,2023-08-14,2023,8,14,21,41
Suez,Fire,30.691451,31.582733,2020-01-22,2020,1,22,3,16
Sharm El Sheikh,Vehicle Breakdown,28.721677,32.34796,2023-11-09,2023,11,9,18,14
Port Said,Fire,25.520208,33.634053,2023-04-20,2023,4,20,22,32
Giza,Fire,30.979325,31.896627,2021-08-28,2021,8,28,13,58
Alexandria,Collision,29.48186,33.380904,2021-12-14,2021,12,14,9,21
Port Said,Overturn,26.690033,31.089802,2020-07-18,2020,7,18,14,46
Port Said,Fire,22.604569,29.268098,2023-12-26,2023,12,26,3,1
Aswan,Collision,28.094254,29.986125,2024-02-25,2024,2,25,7,33
Giza,Vehicle Breakdown,23.441221,32.359094,2022-08-04,2022,8,4,7,51
Suez,Overturn,23.677482,32.943847,2022-03-21,2022,3,21,0,47
Mansoura,Overturn,26.046175,31.577317,2020-01-10,2020,1,10,22,13
Sharm El Sheikh,Fire,28.770929,33.852379,2020-05-08,2020,5,8,18,6
Ismailia,Overturn,25.292137,30.182446,2020-08-21,2020,8,21,8,42
Port Said,Vehicle Breakdown,30.693248,30.880425,2022-03-06,2022,3,6,19,25
Mansoura,Collision,25.131322,34.073107,2023-06-18,2023,6,18,5,52
Luxor,Vehicle Breakdown,27.311515,33.03266,2021-10-03,2021,10,3,3,15
Luxor,Collision,23.647401,33.160619,2022-11-12,2022,11,12,12,26
Mansoura,Overturn,27.173254,31.538233,2022-09-23,2022,9,23,20,34
Giza,Vehicle Breakdown,23.50179,30.733009,2021-01-18,2021,1,18,10,53
Port Said,Vehicle Breakdown,22.482501,31.154235,2020-01-20,2020,1,20,15,8
Sharm El Sheikh,Pedestrian Accident,30.674462,32.032628,2022-10-10,2022,10,10,13,43
Port Said,Pedestrian Accident,28.391281,31.66311,2020-12-08,2020,12,8,2,36
Cairo,Overturn,24.628809,30.649118,2023-01-06,2023,1,6,9,10
Port Said,Vehicle Breakdown,28.682664,33.595517,2023-01-30,2023,1,30,16,7
Mansoura,Collision,24.411,32.258637,2022-01-21,2022,1,21,17,52
Cairo,Pedestrian Accident,26.917179,34.938654,2020-07-28,2020,7,28,23,53
Sharm El Sheikh,Fire,29.873289,29.193382,2021-06-22,2021,6,22,11,55
Alexandria,Pedestrian Accident,29.787614,29.704316,2024-07-20,2024,7,20,7,13
Mansoura,Fire,29.749438,32.661571,2022-05-26,2022,5,26,5,39
Giza,Overturn,29.321769,33.832643,2023-03-13,2023,3,13,11,34
Luxor,Vehicle Breakdown,26.848917,30.941922,2023-12-12,2023,12,12,9,18
Mansoura,Fire,30.571576,32.08649,2023-10-23,2023,10,23,3,8
Suez,Collision,30.932376,34.202286,2020-09-16,2020,9,16,22,55
Giza,Overturn,23.316191,30.93258,2021-05-21,2021,5,21,21,25
Port Said,Overturn,27.19683,30.612303,2022-04-28,2022,4,28,12,28
Alexandria,Collision,25.625657,33.498814,2023-11-23,2023,11,23,11,29
Port Said,Fire,27.2376,34.213447,2024-09-30,2024,9,30,23,5
Port Said,Fire,29.650956,33.774068,2022-03-25,2022,3,25,6,27
Sharm El Sheikh,Pedestrian Accident,24.416832,33.970062,2021-11-22,2021,11,22,17,36
Giza,Vehicle Breakdown,29.671803,33.729822,2023-10-29,2023,10,29,1,2
Alexandria,Pedestrian Accident,22.146532,34.576597,2020-11-19,2020,11,19,14,29
Cairo,Pedestrian Accident,23.820864,33.131551,2020-09-27,2020,9,27,20,19
Giza,Fire,22.84006,31.162612,2020-06-17,2020,6,17,11,42
Giza,Collision,25.567074,30.833055,2023-12-03,2023,12,3,7,27
Alexandria,Collision,22.009777,31.86084,2020-09-28,2020,9,28,18,14
Ismailia,Pedestrian Accident,22.083583,33.173583,2024-07-31,2024,7,31,3,55
Suez,Overturn,26.299302,30.373681,2020-07-01,2020,7,1,23,51
Alexandria,Collision,24.820163,34.285934,2020-10-07,2020,10,7,12,49
Giza,Overturn,22.615704,32.379747,2023-06-03,2023,6,3,20,10
Port Said,Fire,28.501888,32.76848,2020-11-06,2020,11,6,13,39
Port Said,Overturn,22.780192,29.602791,2024-03-21,2024,3,21,3,37
Suez,Fire,30.669238,30.887022,2020-10-13,2020,10,13,7,17
Alexandria,Overturn,26.98057,32.600047,2023-05-29,2023,5,29,9,49
Cairo,Fire,23.849011,32.641561,2021-01-21,2021,1,21,23,25
Luxor,Collision,29.054214,33.762668,2021-05-05,2021,5,5,15,24
Alexandria,Overturn,26.496243,32.563579,2022-12-17,2022,12,17,0,23
Aswan,Overturn,25.481544,34.03384,2022-05-11,2022,5,11,11,34
Giza,Pedestrian Accident,30.590077,33.622202,2020-02-04,2020,2,4,18,4
Cairo,Fire,23.941686,34.535476,2024-06-04,2024,6,4,12,32
Luxor,Vehicle Breakdown,28.90399,31.541451,2022-04-03,2022,4,3,2,40
Ismailia,Vehicle Breakdown,27.544424,30.664806,2021-09-26,2021,9,26,2,32
Sharm El Sheikh,Overturn,26.827512,31.344389,2023-07-23,2023,7,23,20,43
Alexandria,Fire,28.288083,33.37975,2024-09-29,2024,9,29,7,3
Sharm El Sheikh,Collision,30.32165,29.695919,2023-06-07,2023,6,7,19,3
Luxor,Overturn,23.074987,33.247404,2023-12-07,2023,12,7,0,10
Port Said,Fire,26.707048,33.697923,2024-01-16,2024,1,16,8,10
Aswan,Overturn,28.747987,34.24076,2024-02-10,2024,2,10,3,49
Cairo,Fire,29.263971,30.631884,2020-05-10,2020,5,10,8,45
Mansoura,Collision,26.465328,32.064691,2020-04-23,2020,4,23,15,54
Mansoura,Overturn,25.30919,30.530696,2020-07-29,2020,7,29,18,43
Alexandria,Overturn,28.66702,29.015411,2024-10-24,2024,10,24,0,15
Cairo,Pedestrian Accident,25.275788,34.521359,2021-01-01,2021,1,1,1,35
Suez,Overturn,24.896218,31.49754,2024-01-15,2024,1,15,10,17
Alexandria,Vehicle Breakdown,25.355274,32.012246,2020-04-17,2020,4,17,5,14
Ismailia,Collision,30.586715,29.413559,2022-08-10,2022,8,10,9,49
Luxor,Fire,22.77747,31.740477,2022-01-25,2022,1,25,6,18
Mansoura,Fire,28.656184,30.455504,2022-01-24,2022,1,24,18,31
Sharm El Sheikh,Vehicle Breakdown,28.84434,30.470761,2020-01-14,2020,1,14,13,1
Sharm El Sheikh,Vehicle Breakdown,25.117813,34.037444,2024-12-01,2024,12,1,0,21
Cairo,Pedestrian Accident,29.641054,33.36329,2020-07-31,2020,7,31,6,33
Sharm El Sheikh,Pedestrian Accident,26.42826,29.35937,2020-10-18,2020,10,18,22,17
Alexandria,Collision,30.29147,34.383725,2022-11-30,2022,11,30,13,44
Aswan,Pedestrian Accident,30.770993,29.509415,2020-07-14,2020,7,14,16,8
Suez,Collision,27.327062,29.373697,2023-09-18,2023,9,18,4,15
Luxor,Fire,29.658223,34.556252,2022-03-15,2022,3,15,22,53
Aswan,Fire,26.074821,30.401667,2021-02-19,2021,2,19,4,49
Mansoura,Collision,23.398695,29.98625,2022-08-12,2022,8,12,10,26
Alexandria,Vehicle Breakdown,25.224587,33.62202,2022-07-14,2022,7,14,9,29
Luxor,Collision,22.813788,33.845581,2021-09-15,2021,9,15,22,44
Mansoura,Collision,23.935187,34.13944,2020-10-30,2020,10,30,2,45
Sharm El Sheikh,Fire,25.5662,29.293704,2021-09-04,2021,9,4,8,52
Giza,Collision,30.568869,34.127608,2023-02-12,2023,2,12,23,35
Sharm El Sheikh,Collision,26.158389,33.823381,2020-10-13,2020,10,13,3,0
Cairo,Overturn,23.176437,33.94204,2022-02-01,2022,2,1,21,40
Alexandria,Vehicle Breakdown,27.275069,34.504571,2020-06-02,2020,6,2,0,4
Sharm El Sheikh,Pedestrian Accident,29.283688,29.551872,2024-10-01,2024,10,1,10,7
Cairo,Pedestrian Accident,22.455739,34.54479,2022-06-06,2022,6,6,23,25
Port Said,Collision,25.444565,31.559984,2021-12-25,2021,12,25,6,58
Giza,Fire,24.518691,34.300543,2020-03-11,2020,3,11,19,39
Mansoura,Overturn,27.825506,31.99335,2024-12-12,2024,12,12,17,30
Cairo,Collision,24.517984,29.823416,2021-02-12,2021,2,12,20,56
Ismailia,Overturn,27.676789,33.813008,2024-06-15,2024,6,15,0,24
Aswan,Pedestrian Accident,26.90066,31.908077,2023-03-04,2023,3,4,16,20
Suez,Fire,23.618343,30.913265,2021-03-24,2021,3,24,0,57
Luxor,Collision,29.277885,31.830106,2022-01-02,2022,1,2,18,14
Giza,Collision,24.230713,30.446917,2022-12-28,2022,12,28,23,3
Sharm El Sheikh,Vehicle Breakdown,29.618546,33.784344,2021-12-27,2021,12,27,5,11
Sharm El Sheikh,Vehicle Breakdown,24.862039,33.428631,2022-01-04,2022,1,4,18,1
Aswan,Vehicle Breakdown,27.072458,32.378653,2021-01-20,2021,1,20,15,34
Luxor,Overturn,26.413928,29.541544,2021-04-21,2021,4,21,19,14
Cairo,Vehicle Breakdown,26.301901,30.990404,2023-06-11,2023,6,11,6,51
Giza,Fire,28.452439,34.512685,2024-09-25,2024,9,25,10,3
Cairo,Overturn,27.279483,34.503345,2024-05-04,2024,5,4,3,54
Ismailia,Fire,30.645029,31.241545,2023-09-18,2023,9,18,12,37
Alexandria,Fire,24.715886,29.81871,2020-11-18,2020,11,18,23,27
Port Said,Fire,23.567824,34.812457,2023-11-21,2023,11,21,19,50
Aswan,Overturn,27.989785,33.886725,2022-02-13,2022,2,13,9,46
Luxor,Overturn,23.599375,29.010787,2023-12-08,2023,12,8,18,25
Mansoura,Collision,23.638736,30.909301,2024-07-14,2024,7,14,19,14
Mansoura,Collision,30.43019,29.84386,2024-03-06,2024,3,6,2,15
Aswan,Fire,23.510987,34.311922,2020-06-30,2020,6,30,22,42
Aswan,Pedestrian Accident,22.102561,30.258106,2023-11-20,2023,11,20,2,22
Luxor,Collision,28.483722,29.288885,2022-06-16,2022,6,16,23,26
Giza,Pedestrian Accident,26.437738,31.272275,2023-01-23,2023,1,23,12,6
Port Said,Vehicle Breakdown,27.858726,33.122962,2020-11-29,2020,11,29,14,4
Cairo,Fire,22.180702,30.566766,2020-08-02,2020,8,2,2,21
Giza,Pedestrian Accident,23.44814,29.450015,2020-07-09,2020,7,9,10,38
Mansoura,Pedestrian Accident,28.340542,31.58794,2023-08-31,2023,8,31,5,38
Suez,Overturn,22.482002,30.986567,2021-01-24,2021,1,24,13,44
Ismailia,Vehicle Breakdown,24.387383,30.689138,2021-05-01,2021,5,1,3,3
Suez,Vehicle Breakdown,26.946964,31.94569,2020-04-21,2020,4,21,11,0
Suez,Collision,24.650945,32.972121,2023-05-14,2023,5,14,15,12
Alexandria,Collision,23.862577,32.829144,2020-06-16,2020,6,16,15,54
Alexandria,Fire,29.063889,31.825667,2023-09-15,2023,9,15,8,5
Ismailia,Pedestrian Accident,23.663931,34.312956,2022-01-26,2022,1,26,5,28
Cairo,Fire,25.957664,30.580405,2024-09-10,2024,9,10,8,36
Cairo,Overturn,28.770116,33.004811,2020-06-24,2020,6,24,21,22
Ismailia,Pedestrian Accident,30.73635,32.538359,2023-02-07,2023,2,7,1,53
Suez,Vehicle Breakdown,25.767689,32.213086,2024-11-10,2024,11,10,15,36
Sharm El Sheikh,Pedestrian Accident,24.689669,31.368826,2024-10-14,2024,10,14,22,2
Ismailia,Vehicle Breakdown,30.104096,33.802702,2023-10-19,2023,10,19,19,9
Alexandria,Pedestrian Accident,23.555911,34.906208,2021-03-09,2021,3,9,6,8
Cairo,Pedestrian Accident,22.705317,33.098753,2021-02-17,2021,2,17,20,9
Mansoura,Fire,24.877745,33.362618,2024-07-11,2024,7,11,2,5
Suez,Vehicle Breakdown,25.576195,30.956761,2021-07-19,2021,7,19,16,29
Cairo,Vehicle Breakdown,27.288185,33.690114,2020-08-18,2020,8,18,13,9
Giza,Vehicle Breakdown,27.291407,33.550264,2020-07-24,2020,7,24,3,36
Alexandria,Fire,29.807277,34.280815,2024-12-02,2024,12,2,13,16
Suez,Pedestrian Accident,27.148209,31.83828,2020-12-18,2020,12,18,8,25
Giza,Vehicle Breakdown,27.477897,33.161968,2020-03-20,2020,3,20,12,56
Aswan,Overturn,22.443619,31.851309,2021-07-04,2021,7,4,11,1
Aswan,Fire,24.798544,34.057079,2024-10-23,2024,10,23,22,43
Alexandria,Overturn,23.20947,34.845317,2022-06-26,2022,6,26,10,17
Suez,Vehicle Breakdown,27.809993,30.127614,2021-03-08,2021,3,8,13,47
Port Said,Vehicle Breakdown,29.804701,33.926104,2022-11-21,2022,11,21,5,4
Luxor,Vehicle Breakdown,25.630466,33.683099,2022-12-09,2022,12,9,18,1
Giza,Overturn,29.876625,30.204361,2020-04-28,2020,4,28,7,2
Port Said,Collision,30.26228,33.227804,2021-07-15,2021,7,15,11,52
Port Said,Vehicle Breakdown,25.57248,34.538441,2023-10-27,2023,10,27,0,15
Aswan,Pedestrian Accident,27.346392,30.065502,2024-11-17,2024,11,17,15,37
Ismailia,Fire,25.098241,34.025923,2021-06-13,2021,6,13,23,53
Alexandria,Fire,22.247054,29.297906,2024-10-14,2024,10,14,18,49
Sharm El Sheikh,Overturn,27.826419,33.066171,2021-07-05,2021,7,5,20,26
Ismailia,Collision,29.781669,34.80283,2023-10-29,2023,10,29,0,30
Giza,Overturn,27.410278,29.050782,2021-05-31,2021,5,31,19,51
Luxor,Fire,25.814261,31.258853,2021-12-15,2021,12,15,14,16
Sharm El Sheikh,Pedestrian Accident,24.719306,32.123827,2023-07-01,2023,7,1,12,37
Alexandria,Collision,26.603623,32.974133,2024-09-23,2024,9,23,11,35
Mansoura,Vehicle Breakdown,24.544092,33.106479,2022-09-13,2022,9,13,2,21
Luxor,Fire,29.753424,30.566881,2023-12-27,2023,12,27,20,19
Sharm El Sheikh,Overturn,26.655642,30.441812,2020-04-26,2020,4,26,19,25
Aswan,Overturn,28.491549,32.932403,2021-08-28,2021,8,28,8,58
Suez,Pedestrian Accident,25.494474,29.211914,2023-12-21,2023,12,21,18,52
Sharm El Sheikh,Fire,28.538949,30.334179,2022-12-30,2022,12,30,20,50
Port Said,Fire,26.565834,34.072515,2024-09-17,2024,9,17,21,56
Ismailia,Overturn,24.644056,31.824685,2024-02-26,2024,2,26,8,46
Ismailia,Overturn,30.52231,34.397547,2023-09-02,2023,9,2,2,14
Aswan,Overturn,28.697889,30.842512,2024-06-02,2024,6,2,10,23
Luxor,Vehicle Breakdown,24.64646,34.107283,2022-08-21,2022,8,21,1,55
Mansoura,Vehicle Breakdown,30.498709,29.427294,2024-12-26,2024,12,26,6,32
Alexandria,Pedestrian Accident,26.768547,31.478644,2024-11-18,2024,11,18,4,8
Sharm El Sheikh,Fire,25.682727,32.416422,2022-07-26,2022,7,26,4,20
Giza,Collision,26.388228,32.786197,2020-12-28,2020,12,28,10,40
Cairo,Collision,26.068479,30.256294,2024-05-03,2024,5,3,5,36
Giza,Pedestrian Accident,29.066898,33.678515,2020-09-22,2020,9,22,19,27
Suez,Pedestrian Accident,25.861229,31.864402,2020-01-10,2020,1,10,1,34
Sharm El Sheikh,Fire,30.550618,34.352038,2024-03-30,2024,3,30,16,12
Cairo,Collision,27.640182,30.492939,2023-11-21,2023,11,21,11,19
Giza,Collision,25.451954,32.532024,2020-12-08,2020,12,8,2,52
Cairo,Fire,30.53617,31.735558,2022-12-01,2022,12,1,19,33
Aswan,Pedestrian Accident,29.991766,34.972834,2021-12-02,2021,12,2,15,22
Sharm El Sheikh,Overturn,30.532759,34.509232,2022-04-06,2022,4,6,0,14
Sharm El Sheikh,Overturn,23.900712,29.13148,2022-10-30,2022,10,30,5,7
Aswan,Collision,25.376732,32.841927,2024-04-28,2024,4,28,17,39
Cairo,Vehicle Breakdown,30.952122,32.971819,2023-08-31,2023,8,31,0,3
Alexandria,Pedestrian Accident,25.998829,29.74157,2021-06-01,2021,6,1,15,44
Giza,Overturn,28.256728,32.781868,2021-09-08,2021,9,8,13,42
Alexandria,Vehicle Breakdown,24.429794,32.633806,2020-10-07,2020,10,7,13,53
Alexandria,Vehicle Breakdown,28.468896,29.706407,2020-08-21,2020,8,21,3,31
Sharm El Sheikh,Vehicle Breakdown,23.797744,30.577963,2022-12-07,2022,12,7,6,22
Suez,Fire,23.443362,32.288833,2021-03-01,2021,3,1,22,59
Port Said,Fire,24.110547,29.076496,2020-07-01,2020,7,1,3,53
Mansoura,Pedestrian Accident,23.3423,29.540496,2022-11-13,2022,11,13,2,46
Alexandria,Fire,27.799031,31.740507,2021-08-29,2021,8,29,8,29
Cairo,Collision,29.318606,34.244843,2024-10-11,2024,10,11,9,23
Aswan,Pedestrian Accident,28.646862,29.569991,2024-04-01,2024,4,1,1,0
Giza,Overturn,24.957947,34.367166,2023-06-27,2023,6,27,8,56
Alexandria,Fire,29.334679,30.097217,2022-03-31,2022,3,31,12,29
Luxor,Pedestrian Accident,28.209122,31.86947,2022-05-13,2022,5,13,20,56
Giza,Collision,23.192604,33.358467,2024-09-25,2024,9,25,5,6
Suez,Vehicle Breakdown,26.344074,32.413661,2022-06-16,2022,6,16,5,39
Suez,Fire,27.502226,34.175455,2024-12-07,2024,12,7,23,57
Giza,Pedestrian Accident,30.283582,29.677625,2022-04-22,2022,4,22,14,2
Alexandria,Fire,27.894762,29.074161,2024-11-13,2024,11,13,21,33
Mansoura,Vehicle Breakdown,24.015864,34.734569,2024-11-23,2024,11,23,10,33
Ismailia,Vehicle Breakdown,22.857179,32.97028,2021-05-24,2021,5,24,15,22
Suez,Overturn,29.551297,32.350065,2023-06-09,2023,6,9,1,0
Giza,Vehicle Breakdown,29.63961,34.111227,2024-11-15,2024,11,15,5,4
Port Said,Fire,24.168026,34.82087,2020-04-13,2020,4,13,16,14
Ismailia,Pedestrian Accident,25.629493,30.41,2022-07-29,2022,7,29,14,51
Mansoura,Pedestrian Accident,22.792179,31.990737,2021-10-09,2021,10,9,3,31
Cairo,Collision,25.630957,29.214992,2023-01-29,2023,1,29,0,52
Alexandria,Vehicle Breakdown,30.668541,32.825229,2024-12-27,2024,12,27,16,35
Sharm El Sheikh,Pedestrian Accident,30.553196,31.180055,2020-04-21,2020,4,21,7,54
Port Said,Fire,27.041358,32.718548,2022-08-26,2022,8,26,22,42
Aswan,Pedestrian Accident,23.02621,33.55592,2021-03-30,2021,3,30,0,21
Aswan,Fire,26.929215,31.243342,2020-08-05,2020,8,5,1,57
Giza,Pedestrian Accident,23.264043,33.301137,2024-01-17,2024,1,17,13,6
Luxor,Vehicle Breakdown,23.763293,29.724475,2024-10-11,2024,10,11,12,13
Port Said,Overturn,28.451091,29.646594,2022-04-28,2022,4,28,1,59
Mansoura,Collision,28.949307,31.703028,2023-09-10,2023,9,10,18,32
Giza,Pedestrian Accident,22.039039,33.417284,2023-02-07,2023,2,7,13,53
Mansoura,Pedestrian Accident,30.319338,33.686489,2020-12-28,2020,12,28,22,37
Giza,Overturn,22.931986,32.945131,2023-05-26,2023,5,26,10,32
Suez,Pedestrian Accident,30.815507,34.495461,2024-04-10,2024,4,10,7,17
Suez,Fire,30.734425,31.717074,2020-09-30,2020,9,30,4,26
Mansoura,Vehicle Breakdown,24.690218,33.208966,2024-10-28,2024,10,28,10,45
Ismailia,Overturn,23.808002,32.745006,2021-08-18,2021,8,18,21,22
Giza,Overturn,26.535041,33.165872,2021-10-22,2021,10,22,22,7
Aswan,Vehicle Breakdown,26.323329,32.423829,2023-09-28,2023,9,28,22,26
Ismailia,Fire,29.897295,31.534318,2020-01-27,2020,1,27,16,6
Cairo,Pedestrian Accident,23.30794,33.021525,2021-02-13,2021,2,13,8,48
Giza,Fire,28.150513,29.87857,2020-05-07,2020,5,7,22,50
Luxor,Overturn,28.782346,29.193838,2024-07-25,2024,7,25,14,6
Mansoura,Vehicle Breakdown,29.783573,33.454476,2023-02-23,2023,2,23,12,15
Ismailia,Fire,28.236425,29.281879,2022-02-20,2022,2,20,12,26
Aswan,Vehicle Breakdown,22.48422,33.46202,2021-02-19,2021,2,19,19,55
Port Said,Overturn,30.203377,33.227774,2023-08-19,2023,8,19,11,48
Mansoura,Vehicle Breakdown,28.64605,30.178814,2024-01-24,2024,1,24,6,18
Port Said,Overturn,30.85108,29.446814,2020-12-21,2020,12,21,23,32
